DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
191506964,2/25/2019 0:00,2/25/2019 0:00,2325,15,N Hollywood,1557,1,480,BIKE - STOLEN,0397 0344 1602,36,M,W,104,DRIVEWAY,,,IC,Invest Cont,480,,,,5000    CARTWRIGHT                   AV,,34.1613,-118.3637
190128566,12/5/2019 0:00,12/4/2019 0:00,2230,1,Central,152,1,480,BIKE - STOLEN,0397 0344 1602 1822,0,M,W,101,STREET,,,IC,Invest Cont,480,,,,7TH,FLOWER                       ST,34.0487,-118.2588
190615415,7/13/2019 0:00,7/13/2019 0:00,1830,6,Hollywood,666,1,480,BIKE - STOLEN,0344 0397,46,M,W,108,PARKING LOT,,,IC,Invest Cont,480,,,,6300 W  SUNSET                       BL,,34.098,-118.3267
190606178,1/30/2019 0:00,1/1/2019 0:00,1050,6,Hollywood,669,1,480,BIKE - STOLEN,344,24,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480,,,,5300    LEXINGTON                    AV,,34.093,-118.3046
190104755,1/12/2019 0:00,1/9/2019 0:00,2200,1,Central,158,1,480,BIKE - STOLEN,0344 2032,47,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480,,,,800 E  6TH                          ST,,34.0408,-118.2428
191213216,5/8/2019 0:00,5/4/2019 0:00,1330,12,77th Street,1266,1,480,BIKE - STOLEN,0344 0397 1822,20,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480,,,,600 W  82ND                         ST,,33.9661,-118.2849
190717122,9/25/2019 0:00,9/24/2019 0:00,2000,7,Wilshire,749,1,480,BIKE - STOLEN,1602 1601 0344,35,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480,,,,800 S  LUCERNE                      BL,,34.0604,-118.3248
190306495,2/7/2019 0:00,2/6/2019 0:00,800,3,Southwest,328,1,480,BIKE - STOLEN,0344 1251,28,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480,,,,2600    PORTLAND                     ST,,34.0309,-118.2821
190311164,4/18/2019 0:00,4/17/2019 0:00,1750,3,Southwest,358,1,480,BIKE - STOLEN,0344 1251,26,M,W,722,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,,,IC,Invest Cont,480,,,,3500    TROUSDALE                    PY,,34.0215,-118.2868
191007822,3/29/2019 0:00,3/28/2019 0:00,1900,10,West Valley,1065,1,480,BIKE - STOLEN,344,48,M,W,108,PARKING LOT,,,IC,Invest Cont,480,,,,5400    NEWCASTLE                    AV,,34.1687,-118.5244
